Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Hisashi Iwakuma,35,16,12,.571,4.12,33,33,0,0,0,0,199.0,218,95,91,28,46,3,147,5,0,4,836,98,4.27,1.327,9.9,1.3,2.1,6.6,3.20
2,SP,Felix Hernandez,30,11,8,.579,3.82,25,25,0,0,0,0,153.1,138,76,65,19,65,0,122,10,0,6,655,106,4.63,1.324,8.1,1.1,3.8,7.2,1.88
3,SP,Taijuan Walker,23,8,11,.421,4.22,25,25,0,1,1,0,134.1,129,75,63,27,37,2,119,8,1,4,573,96,4.99,1.236,8.6,1.8,2.5,8.0,3.22
4,SP,James Paxton*,27,6,7,.462,3.79,20,20,0,0,0,0,121.0,134,62,51,9,24,3,117,1,0,5,511,107,2.80,1.306,10.0,0.7,1.8,8.7,4.88
5,SP,Wade Miley*,29,7,8,.467,4.98,19,19,0,1,1,0,112.0,117,62,62,18,34,1,82,3,2,5,469,81,4.76,1.348,9.4,1.4,2.7,6.6,2.41
6,SP,Nate Karns,28,6,2,.750,5.15,22,15,2,0,0,1,94.1,95,55,54,11,45,1,101,3,1,5,417,79,4.05,1.484,9.1,1.0,4.3,9.6,2.24
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
7,CL,Steve Cishek,30,4,6,.400,2.81,62,0,40,0,0,25,64.0,44,21,20,8,21,2,76,4,0,4,258,144,3.57,1.016,6.2,1.1,3.0,10.7,3.62
8,RP,Mike Montgomery*,26,3,4,.429,2.34,32,2,13,0,0,0,61.2,49,18,16,3,18,2,54,6,0,5,250,174,3.20,1.086,7.2,0.4,2.6,7.9,3.00
9,RP,Nick Vincent,29,4,4,.500,3.73,60,0,15,0,0,3,60.1,53,26,25,11,15,5,65,1,0,0,247,109,4.16,1.127,7.9,1.6,2.2,9.7,4.33
10,RP,Vidal Nuno*,28,1,1,.500,3.53,55,1,14,0,0,0,58.2,67,23,23,11,11,2,51,2,2,0,247,115,4.51,1.330,10.3,1.7,1.7,7.8,4.64
11,RP,Edwin Diaz,22,0,4,.000,2.79,49,0,23,0,0,18,51.2,45,16,16,5,15,2,88,3,1,6,217,146,2.04,1.161,7.8,0.9,2.6,15.3,5.87
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
12,,Ariel Miranda*,27,5,2,.714,3.54,11,10,1,0,0,0,56.0,43,25,22,12,18,0,40,0,0,2,221,115,5.47,1.089,6.9,1.9,2.9,6.4,2.22
13,,Wade LeBlanc*,31,3,0,1.000,4.50,11,8,3,0,0,1,50.0,52,27,25,14,9,0,41,0,0,0,208,90,5.69,1.220,9.4,2.5,1.6,7.4,4.56
14,,Cody Martin,26,1,2,.333,3.86,9,2,3,0,0,0,25.2,28,11,11,5,9,0,15,1,0,0,107,106,5.68,1.442,9.8,1.8,3.2,5.3,1.67
15,,Tom Wilhelmsen,32,0,1,.000,3.60,29,0,2,0,0,1,25.0,22,10,10,4,10,0,17,0,0,0,100,114,5.07,1.280,7.9,1.4,3.6,6.1,1.70
16,,Joaquin Benoit,38,1,1,.500,5.18,26,0,2,0,0,0,24.1,20,16,14,4,15,1,28,1,0,1,111,79,4.96,1.438,7.4,1.5,5.5,10.4,1.87
17,,Joel Peralta,40,1,0,1.000,5.40,26,0,5,0,0,0,23.1,24,14,14,7,7,0,28,0,0,0,100,76,5.55,1.329,9.3,2.7,2.7,10.8,4.00
18,,Arquimedes Caminero,29,1,1,.500,3.66,18,0,2,0,0,0,19.2,21,14,8,3,11,1,18,1,0,1,93,112,5.13,1.627,9.6,1.4,5.0,8.2,1.64
19,,Drew Storen,28,3,0,1.000,3.44,19,0,1,0,0,0,18.1,13,7,7,1,3,0,16,1,0,0,72,120,2.77,0.873,6.4,0.5,1.5,7.9,5.33
20,,Steve Johnson,28,1,0,1.000,4.32,16,0,12,0,0,0,16.2,13,8,8,3,11,0,17,0,0,1,75,96,5.43,1.440,7.0,1.6,5.9,9.2,1.55
21,,Evan Scribner,30,0,0,,0.00,12,0,0,0,0,0,14.0,5,0,0,0,2,1,15,1,0,0,49,,1.65,0.500,3.2,0.0,1.3,9.6,7.50
22,,Tony Zych,25,1,0,1.000,3.29,12,0,3,0,0,0,13.2,10,6,5,0,10,2,21,1,0,0,60,126,2.49,1.463,6.6,0.0,6.6,13.8,2.10
23,,Pat Venditte#,31,0,0,,6.08,7,0,4,0,0,0,13.1,13,10,9,4,7,1,12,1,0,0,58,68,7.05,1.500,8.8,2.7,4.7,8.1,1.71
24,,Dan Altavilla,23,0,0,,0.73,15,0,7,0,0,0,12.1,11,1,1,0,1,0,10,1,0,1,48,571,2.01,0.973,8.0,0.0,0.7,7.3,10.00
25,,David Rollins*,26,1,0,1.000,7.71,11,0,6,0,0,0,9.1,12,8,8,2,7,1,6,0,0,1,47,54,6.90,2.036,11.6,1.9,6.8,5.8,0.86
26,,Mayckol Guaipe,25,0,0,,4.91,5,0,0,0,0,0,7.1,8,6,4,0,4,0,5,0,0,0,34,87,3.42,1.636,9.8,0.0,4.9,6.1,1.25
27,,Donn Roach,26,2,0,1.000,8.44,4,0,1,0,0,0,5.1,7,5,5,1,2,0,2,1,0,1,28,51,6.52,1.688,11.8,1.7,3.4,3.4,1.00
28,,Joe Wieland,26,0,1,.000,10.80,1,1,0,0,0,0,5.0,9,6,6,1,0,0,3,0,0,0,23,40,4.55,1.800,16.2,1.8,0.0,5.4,
29,,Adrian Sampson,24,0,1,.000,7.71,1,1,0,0,0,0,4.2,8,4,4,2,1,0,2,0,0,0,21,57,8.50,1.929,15.4,3.9,1.9,3.9,2.00
